reward_function,student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
correctness,FAST,pomdp,26,3.11,3.019138295019056,0.6895890364779685,0.5686027791251838,150.1475,0.6895890364779685
correctness,FAST,pomdp,27,3.185,3.0225365359897696,0.6967421836736915,0.5985696549267974,162.0225,0.6967421836736915
correctness,FAST,pomdp,28,3.0675,2.9216910148313873,0.6812694627706227,0.5913269389561381,149.7925,0.6812694627706227
correctness,FAST,pomdp,29,3.215,3.095793705074885,0.7162904011348814,0.5662369961032896,160.9775,0.7162904011348814
correctness,FAST,pomdp,30,3.0925,2.998785943289783,0.680859547101036,0.5867837207524407,150.66,0.680859547101036
correctness,FAST,pomdp,31,3.135,2.941750630710352,0.6863012533341235,0.5788889518334492,154.125,0.6863012533341235
correctness,FAST,pomdp,32,3.105,2.9716355355696438,0.687661552234475,0.5797152744103942,155.9675,0.687661552234475
correctness,FAST,pomdp,33,3.105,2.9624546482600476,0.6980552096765803,0.5796134492981291,155.8375,0.6980552096765803
correctness,FAST,pomdp,34,3.0825,2.946392332812104,0.6950625674098546,0.584233148979322,151.555,0.6950625674098546
correctness,FAST,pomdp,35,3.115,2.9232261982357306,0.6935218602635086,0.5996275130322387,164.4275,0.6935218602635086
correctness,FAST,pomdp,36,3.1325,2.9976721743681236,0.702783285372106,0.5801637448295021,164.0075,0.702783285372106
correctness,FAST,pomdp,37,3.125,2.973049720511458,0.7020897751353462,0.5944579977407463,158.6125,0.7020897751353462
correctness,FAST,pomdp,38,3.135,2.9914052324311786,0.689065339410276,0.579280752962697,151.455,0.689065339410276
correctness,FAST,pomdp,39,3.2125,3.039833205121007,0.692044442094328,0.6090575033816403,156.625,0.692044442094328
correctness,FAST,pomdp,40,3.1825,3.0131538977854224,0.6870751675508902,0.5921421512162302,153.555,0.6870751675508902
correctness,FAST,pomdp,41,3.06,2.8800601273227655,0.6847277197515754,0.5811211098623743,148.1375,0.6847277197515754
correctness,FAST,pomdp,42,3.15,3.041804037231288,0.689155263085953,0.5947918136020331,153.5825,0.689155263085953
correctness,FAST,pomdp,43,3.0375,2.9164063490270253,0.6893557456882459,0.6082443500322516,149.4175,0.6893557456882459
correctness,FAST,pomdp,44,3.19,3.010164967750478,0.6793918281034693,0.5998356482958949,154.2575,0.6793918281034693
correctness,FAST,pomdp,45,3.07,2.9511456815781285,0.6866225511543541,0.5749770488336907,149.7675,0.6866225511543541
correctness,FAST,pomdp,46,3.0675,2.9580001718602893,0.6856468690324009,0.5851634969685833,158.275,0.6856468690324009
correctness,FAST,pomdp,47,3.1075,2.9969850522649777,0.6849175237713783,0.5930948909972089,153.28,0.6849175237713783
correctness,FAST,pomdp,48,3.145,2.982772828107435,0.6894084073988102,0.5853522185504758,154.7525,0.6894084073988102
correctness,FAST,pomdp,49,3.14,3.003555172536586,0.6846736566725816,0.5984643285054646,154.2525,0.6846736566725816
correctness,FAST,pomdp,50,3.1225,2.9220035097188135,0.6794610839190784,0.6017788081834615,148.095,0.6794610839190784
correctness,STEADY,bandit,1,2.7,2.4652993855229806,0.5781057509862353,0.5077013769771341,113.48,0.5781057509862353
correctness,STEADY,bandit,2,2.62,2.407914527238417,0.5424004224907872,0.48845381280220734,102.5125,0.5424004224907872
correctness,STEADY,bandit,3,2.67,2.4409553310921464,0.569596103458353,0.5052075315151568,118.7325,0.569596103458353
correctness,STEADY,bandit,4,2.6675,2.3704300289517515,0.5470046190706239,0.4816658107051894,104.425,0.5470046190706239
correctness,STEADY,bandit,5,2.59,2.3287305269890908,0.5769125880526863,0.514535118543749,118.27,0.5769125880526863
correctness,STEADY,bandit,6,2.6375,2.394178003463558,0.5833128563275045,0.5244754045248358,115.8725,0.5833128563275045
correctness,STEADY,bandit,7,2.67,2.3580872419832883,0.576077188572874,0.5049865549911468,115.3025,0.576077188572874
correctness,STEADY,bandit,8,2.6875,2.46356772770215,0.5789300979784042,0.49784728905767933,110.9775,0.5789300979784042
correctness,STEADY,bandit,9,2.61,2.351257569769943,0.5904885725887312,0.5180350183144905,123.975,0.5904885725887312
correctness,STEADY,bandit,10,2.58,2.3674809565087442,0.5742100754149743,0.5115165312499707,115.5025,0.5742100754149743
correctness,STEADY,bandit,11,2.705,2.4337344678151216,0.5536806642328752,0.4993541561080987,119.5125,0.5536806642328752
correctness,STEADY,bandit,12,2.635,2.385014253267732,0.5746387142438067,0.5133438019369392,114.34,0.5746387142438067
correctness,STEADY,bandit,13,2.6175,2.412807906968007,0.5833527525600314,0.48979087645250075,111.035,0.5833527525600314
correctness,STEADY,bandit,14,2.695,2.43379269026202,0.5734139352198846,0.4991919036964183,115.77,0.5734139352198846
correctness,STEADY,bandit,15,2.65,2.4281963877274735,0.5879023567536872,0.5132591410590918,121.2175,0.5879023567536872
correctness,STEADY,bandit,16,2.6725,2.38961617583389,0.5833007231683415,0.5126196266132692,118.1925,0.5833007231683415
correctness,STEADY,bandit,17,2.6175,2.3745645025081963,0.5697811630053707,0.509232642292829,115.3,0.5697811630053707
correctness,STEADY,bandit,18,2.635,2.429763594716657,0.5688140615739531,0.4849840308261764,112.39,0.5688140615739531
correctness,STEADY,bandit,19,2.6525,2.3690947689219457,0.5751663848096326,0.5042452445836652,111.84,0.5751663848096326
correctness,STEADY,bandit,20,2.51,2.22036183403898,0.6002287845860017,0.5454010580914478,113.08,0.6002287845860017
correctness,STEADY,bandit,21,2.6925,2.403689586393225,0.5618965881826433,0.5132548306794851,118.835,0.5618965881826433
correctness,STEADY,bandit,22,2.66,2.3657788825564547,0.5756960224224149,0.5243820491543714,115.34,0.5756960224224149
correctness,STEADY,bandit,23,2.6175,2.3720764996533976,0.5670698560326304,0.4988490616410667,113.775,0.5670698560326304
correctness,STEADY,bandit,24,2.6525,2.3655558142618736,0.5853380697448631,0.5323709055822478,122.5475,0.5853380697448631
correctness,STEADY,bandit,25,2.6025,2.338206568567991,0.5844488702442445,0.5269786784980909,120.9775,0.5844488702442445
correctness,STEADY,bandit,26,2.635,2.3435739429812066,0.5758781897651628,0.5114882721487297,111.4775,0.5758781897651628
correctness,STEADY,bandit,27,2.755,2.4824031086364227,0.5584113238829949,0.4766052127179246,109.2075,0.5584113238829949
correctness,STEADY,bandit,28,2.64,2.3868329403262645,0.5624509518590766,0.4946668583414646,114.1875,0.5624509518590766
correctness,STEADY,bandit,29,2.69,2.4434412551855926,0.5654455998128199,0.49747506571320116,112.22,0.5654455998128199
correctness,STEADY,bandit,30,2.6725,2.4829063956384507,0.5723259311821461,0.5149988051453316,114.66,0.5723259311821461
correctness,STEADY,bandit,31,2.595,2.296705363717366,0.5994773760356368,0.5442879220977398,129.5775,0.5994773760356368
correctness,STEADY,bandit,32,2.6625,2.4466070615769335,0.5237600213383249,0.4734593543562076,101.175,0.5237600213383249
correctness,STEADY,bandit,33,2.485,2.262119288396288,0.559970917816512,0.5279754344715977,117.55,0.559970917816512
correctness,STEADY,bandit,34,2.6175,2.358156117909332,0.5536593575033366,0.5042273581037158,108.32,0.5536593575033366
correctness,STEADY,bandit,35,2.6325,2.3550149168161245,0.577707162354604,0.5202328056266659,116.9025,0.577707162354604
correctness,STEADY,bandit,36,2.6175,2.3531032393110998,0.574770490888795,0.5138822065469508,115.3725,0.574770490888795
correctness,STEADY,bandit,37,2.6225,2.3751151420785472,0.569616936562725,0.5083041768496418,110.0375,0.569616936562725
correctness,STEADY,bandit,38,2.765,2.4898468874288295,0.566248074109033,0.49900539123360405,116.82,0.566248074109033
correctness,STEADY,bandit,39,2.65,2.3334889223675948,0.5796138968447917,0.5087658168438705,117.3225,0.5796138968447917
correctness,STEADY,bandit,40,2.575,2.2923674023494316,0.5844302395647977,0.5419802892330701,126.8425,0.5844302395647977
correctness,STEADY,bandit,41,2.655,2.3621723820701535,0.5529085462092233,0.5156683750614742,115.5675,0.5529085462092233
correctness,STEADY,bandit,42,2.6125,2.369681169463284,0.5717460674518523,0.5181219014895747,114.2475,0.5717460674518523
correctness,STEADY,bandit,43,2.5475,2.3042937853263608,0.5796597613973637,0.5445416293627846,120.565,0.5796597613973637
correctness,STEADY,bandit,44,2.6125,2.368960121726204,0.5810654005507007,0.5092729337786096,114.975,0.5810654005507007
correctness,STEADY,bandit,45,2.655,2.3743626190230898,0.588483663857001,0.5294174962821078,118.77,0.588483663857001
correctness,STEADY,bandit,46,2.6875,2.402060106570739,0.5525657842531868,0.4886744116686577,102.69,0.5525657842531868
correctness,STEADY,bandit,47,2.59,2.3410150172834907,0.5751018412011757,0.5269539822333484,120.7575,0.5751018412011757
correctness,STEADY,bandit,48,2.735,2.4659766759288306,0.5818656812278562,0.5018879788302434,118.1275,0.5818656812278562
correctness,STEADY,bandit,49,2.625,2.3472491886250384,0.5687521454095804,0.4900720736508063,108.42,0.5687521454095804
correctness,STEADY,bandit,50,2.5975,2.3339036216591196,0.5720183420729414,0.5292132409041679,124.26,0.5720183420729414
correctness,STEADY,pomdp,1,2.405,2.3359521015716824,0.763502003502397,0.6854467347780663,199.445,0.763502003502397
correctness,STEADY,pomdp,2,2.4975,2.4348996973571393,0.7763957510830545,0.7187906425479301,216.325,0.7763957510830545
correctness,STEADY,pomdp,3,2.55,2.4644319021790624,0.7730129039698113,0.6917838660029261,210.7825,0.7730129039698113
correctness,STEADY,pomdp,4,2.5375,2.4900514185865834,0.7801216835970147,0.7232945758969782,224.9875,0.7801216835970147
correctness,STEADY,pomdp,5,2.4775,2.4060536709958287,0.7671910141625696,0.7061719047131745,213.165,0.7671910141625696
correctness,STEADY,pomdp,6,2.425,2.372016271262174,0.7783859843085028,0.6693923150873389,205.455,0.7783859843085028
correctness,STEADY,pomdp,7,2.505,2.423316775347272,0.7815243183933717,0.6985064030060424,213.8,0.7815243183933717
correctness,STEADY,pomdp,8,2.54,2.467645868103937,0.7773601645947308,0.6898357689656975,209.285,0.7773601645947308
correctness,STEADY,pomdp,9,2.5175,2.441184499087992,0.7778101772511888,0.7134071861192077,220.4275,0.7778101772511888
correctness,STEADY,pomdp,10,2.455,2.390385655975916,0.7714026657883403,0.7175442627081884,219.9725,0.7714026657883403
correctness,STEADY,pomdp,11,2.4725,2.388071651403814,0.7835118900854482,0.6918576780093383,216.11,0.7835118900854482
correctness,STEADY,pomdp,12,2.475,2.3725590274268393,0.7757793303196686,0.7128494747133304,218.415,0.7757793303196686
correctness,STEADY,pomdp,13,2.5425,2.4299221186727418,0.7693042971114159,0.7171237510026179,211.8125,0.7693042971114159
correctness,STEADY,pomdp,14,2.5125,2.4261428001365335,0.7807413969294555,0.713909625071272,219.95,0.7807413969294555
correctness,STEADY,pomdp,15,2.58,2.4517425969489746,0.7739985166890009,0.7364438457010014,219.0925,0.7739985166890009
correctness,STEADY,pomdp,16,2.595,2.4950976934785136,0.776443001999948,0.7161510863807663,214.94,0.776443001999948
correctness,STEADY,pomdp,17,2.45,2.3466535888093962,0.781418703424199,0.6935320205812238,214.71,0.781418703424199
correctness,STEADY,pomdp,18,2.545,2.4720617440094714,0.7742014302247173,0.6964411947304592,214.9175,0.7742014302247173
correctness,STEADY,pomdp,19,2.39,2.328085041119978,0.7670801871643139,0.7007154868609514,213.025,0.7670801871643139
correctness,STEADY,pomdp,20,2.4725,2.3972600356543343,0.7668658007524436,0.6913718281089032,206.5375,0.7668658007524436
correctness,STEADY,pomdp,21,2.4875,2.3741786580603623,0.7800737283856839,0.7206733210043424,219.7675,0.7800737283856839
correctness,STEADY,pomdp,22,2.4875,2.451016599059989,0.7778699478887376,0.7189870135741995,217.9175,0.7778699478887376
