lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.1,pomdp,37,1.7325,1.8157080129913044,0.4978601701585446,0.6392641144678501,93.09,0.6251237200369195
0.1,pomdp,38,1.705,1.826262598425618,0.4659310864824869,0.6394835729356998,84.64,0.6221283242903785
0.1,pomdp,39,1.755,1.851053945926224,0.4758809056639807,0.61668852041123,82.3475,0.6026077589365051
0.1,pomdp,40,1.8075,1.893345976745996,0.48442260583768587,0.6406449019324905,89.78,0.6250226723230099
0.1,pomdp,41,1.6475,1.8060147688705257,0.474177484601138,0.6468166250979859,88.2025,0.6295527110483011
0.1,pomdp,42,1.68,1.7898208177351234,0.46497676851175596,0.6375063858360636,79.3,0.6202534241036328
0.1,pomdp,43,1.6875,1.7801253496651839,0.48519843963677517,0.6511567180549477,83.855,0.6345608902131304
0.1,pomdp,44,1.6675,1.8027780767746764,0.48320696508443356,0.6376643210068992,88.805,0.6222185854146527
0.1,pomdp,45,1.76,1.9413700944715442,0.4784946991827498,0.6359071122658135,85.99,0.6201658709575071
0.1,pomdp,46,1.7325,1.9240562459045492,0.48972880845323985,0.6410218322103275,86.4225,0.6258925298346187
0.1,pomdp,47,1.7575,1.8430930018661025,0.49072308706803924,0.6309948866300236,83.005,0.6169677066738252
0.1,pomdp,48,1.655,1.8364245627252882,0.47900685734559145,0.6211347517156086,87.3525,0.6069219622786071
0.1,pomdp,49,1.7325,1.8524184542691682,0.48701338509028075,0.6488246431161196,90.73,0.6326435173135359
0.1,pomdp,50,1.745,1.8773954664271424,0.45893161795081083,0.6139882979218676,80.6375,0.598482629924762
0.2,bandit,1,1.95,1.871001016008218,0.3927518028094592,0.5020742976309487,70.935,0.48020979866665087
0.2,bandit,2,1.9225,1.8708490911943643,0.36879949741098444,0.4879756070662216,65.21,0.46414038513517425
0.2,bandit,3,2.0075,1.9266454935070754,0.3453345578463777,0.4523994690188728,57.795,0.4309864867843738
0.2,bandit,4,1.86,1.8586371109815456,0.3655620375247026,0.4786231742862624,59.4525,0.45601094693395056
0.2,bandit,5,1.9575,1.9534362150206441,0.3744448836480231,0.49831484813963883,73.0025,0.4735408552413156
0.2,bandit,6,1.85,1.8280266266506424,0.3670219272637896,0.4990617496134098,71.14,0.47265378514348577
0.2,bandit,7,2.0275,1.960779336358226,0.36321420243915,0.4611146126573782,65.3125,0.44153453061373255
0.2,bandit,8,2.015,1.9700792358407304,0.35421970388947044,0.43755434341370675,61.415,0.42088741550885955
0.2,bandit,9,1.9025,1.8932013328248525,0.36266196321872,0.4882645745755403,65.9525,0.46314405230417627
