agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered
bandit,engagement,29,2.015,1.9964257970711983,0.32380180692092914,0.4272454057328939,16.0775
bandit,engagement,30,2.095,2.083134499694268,0.2945296341426221,0.3864738864705883,15.165
bandit,composite,1,1.985,1.9811227835307301,0.31562898810927825,0.4136763756444884,14.21
bandit,composite,2,1.94,1.9197729941183217,0.32980676914149853,0.43038207912930737,15.0625
bandit,composite,3,2.135,2.0823927152301653,0.3198195715700319,0.38755924405894004,15.19
bandit,composite,4,1.995,1.9684842501489737,0.33375657881443305,0.4304618058733554,16.8025
bandit,composite,5,1.9775,1.9625016431720332,0.32155495933323963,0.43427038261161466,16.26
bandit,composite,6,2.0975,2.0674301196714673,0.3126332038879412,0.4029395004678198,15.7325
bandit,composite,7,2.06,2.05427673783218,0.30908824887358183,0.41099287177743477,15.885
bandit,composite,8,1.965,1.9595081379463695,0.32300334488720595,0.41488629144490163,15.9725
bandit,composite,9,2.01,1.9862036948535766,0.31436782510241423,0.4061168587779609,16.2825
bandit,composite,10,2.01,2.010274822665599,0.3404516461765198,0.42507299661372927,16.025
bandit,composite,11,2.0575,2.0254854217205183,0.3340050847821959,0.4102652975353781,14.3275
bandit,composite,12,2.0525,2.022317026881195,0.3214292666917875,0.40197330906885187,15.6375
bandit,composite,13,2.025,1.9638617287089364,0.3163596180543702,0.4210434542397959,15.23
bandit,composite,14,2.0475,2.000510013478188,0.3303529747407819,0.4337615975237806,18.365
bandit,composite,15,2.005,1.9609507667338437,0.3232585127040568,0.4662045083779857,16.5575
bandit,composite,16,2.0175,1.992520051790275,0.3107442211280888,0.40519618328433277,13.785
bandit,composite,17,2.0275,2.0272787741123137,0.30248067789887034,0.39981382103535634,12.3475
bandit,composite,18,2.015,1.9905660494695219,0.3148815310613696,0.4259337413015642,16.5525
bandit,composite,19,2.065,2.0470909415895084,0.31468825144466644,0.3955259062923558,18.1875
bandit,composite,20,2.005,1.990868421025644,0.3355337245425569,0.4239787532187379,17.0325
bandit,composite,21,1.995,1.9465036417344401,0.33833285862048057,0.43932773175265877,15.6575
bandit,composite,22,2.0,1.99846873385981,0.31877355417845965,0.3969908281164071,16.225
bandit,composite,23,2.0175,1.9853672241651292,0.32149919987600967,0.4086220281752598,15.735
bandit,composite,24,2.11,2.0789604994237254,0.30603712856050275,0.42188392149071363,16.5975
bandit,composite,25,1.9575,1.9379985938481865,0.3292557407100555,0.4188650842469105,16.5025
bandit,composite,26,2.165,2.13827267493599,0.3034990800239273,0.37743793462797903,15.27
bandit,composite,27,1.9925,1.9802380102603347,0.3384312278252882,0.4359006133334081,15.5
bandit,composite,28,2.035,2.020969300493871,0.3286256169616757,0.41149543569954533,16.245
bandit,composite,29,1.9775,1.9694787745113636,0.3136184166740449,0.4184397455521813,17.49
bandit,composite,30,2.0425,2.024362408334378,0.3319711543519074,0.4321684587854658,17.09
bandit,knowledge_gain,1,2.1175,2.111017556211913,0.3131666238637423,0.3792046421125558,12.7575
bandit,knowledge_gain,2,2.13,2.0361471635156865,0.33390259910859754,0.40402562733746245,17.04
