student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
FAST,pomdp,8,2.3825,2.355405550565146,0.5707818844640122,0.7853922951222256,130.2975,0.6351650076614761
FAST,pomdp,9,2.4175,2.4240877610905103,0.5664331477325859,0.7798313255425582,131.56,0.6304526010755775
FAST,pomdp,10,2.3875,2.3946105265975577,0.5615430739389317,0.7634185251895537,119.28,0.6221057093141181
FAST,pomdp,11,2.395,2.4250890462854406,0.564525820566337,0.7762696475064049,129.5,0.6280489686483574
FAST,pomdp,12,2.3875,2.3918249346550464,0.5609946649510391,0.752704425174544,122.9475,0.6185075930180906
FAST,pomdp,13,2.3025,2.2950490473110903,0.5717659671661814,0.7698440284447507,125.6375,0.6311893855497521
FAST,pomdp,14,2.4475,2.452695861496726,0.5766102505954293,0.7644519787210311,136.2575,0.6329627690331098
FAST,pomdp,15,2.42,2.422869728880991,0.5668209184178942,0.7913850131015302,129.32,0.6341901468229848
FAST,pomdp,16,2.3725,2.355477550197737,0.5695742979365557,0.7958473740985497,132.7275,0.6374562207851538
FAST,pomdp,17,2.455,2.4510994974210063,0.574462251226199,0.7934764234354327,131.27,0.6401665028889689
FAST,pomdp,18,2.465,2.4721238348017347,0.5746945736491927,0.777742977197772,132.1375,0.6356090947137665
FAST,pomdp,19,2.345,2.362859408179407,0.5583999966501589,0.7651062703547333,127.0875,0.6204118787615311
FAST,pomdp,20,2.3675,2.361219891465492,0.569888402501328,0.7490691733110537,128.0475,0.6236426337442458
FAST,pomdp,21,2.32,2.3154001047021566,0.5795809217305259,0.8073555163590314,136.7625,0.6479133001190774
FAST,pomdp,22,2.475,2.4636960182644496,0.5576736883359805,0.7718952628927644,116.98,0.6219401607030156
FAST,pomdp,23,2.3325,2.341746169819114,0.5828694699358682,0.7734433896687233,132.03,0.6400416458557247
FAST,pomdp,24,2.5275,2.5108690242703737,0.5587297441487707,0.7904194997011679,125.565,0.6282366708144899
FAST,pomdp,25,2.46,2.469581854422978,0.5844457979959735,0.7911584708653837,130.5225,0.6464595998567964
FAST,pomdp,26,2.45,2.4735008794844173,0.5662831693275892,0.7783902389806869,126.0125,0.6299152902235184
FAST,pomdp,27,2.38,2.377781654815321,0.5518977906412813,0.7441826782748285,115.6975,0.6095832569313454
FAST,pomdp,28,2.455,2.4419020386062082,0.5648822098042228,0.7372068438183871,125.82,0.616579600008472
FAST,pomdp,29,2.415,2.4067977964784943,0.5751904997031834,0.774841734900428,129.175,0.6350858702623567
FAST,pomdp,30,2.4075,2.4043173083031975,0.5708125879115761,0.7793382278860497,127.715,0.6333702799039181
FAST,pomdp,31,2.5625,2.5611820875680853,0.5552369337102057,0.8100692995304526,135.85,0.6316866434562798
FAST,pomdp,32,2.5675,2.5675988451752234,0.5672273895793977,0.7836699722367558,125.685,0.632160164376605
FAST,pomdp,33,2.4775,2.4750549544804,0.5721145253539731,0.7839049185575817,131.1575,0.6356516433150556
FAST,pomdp,34,2.4625,2.4916396346264524,0.5705705358040071,0.7606152470460035,127.82,0.627583949176606
FAST,pomdp,35,2.36,2.371947944429883,0.5670153496040214,0.7755646760946705,125.99,0.629580147551216
FAST,pomdp,36,2.4475,2.463323176361869,0.5652768985827903,0.7715457320243579,123.115,0.6271575486152605
FAST,pomdp,37,2.54,2.5286923767203633,0.5564451244437326,0.7567836876548539,123.075,0.616546693407069
FAST,pomdp,38,2.4175,2.3879455774881224,0.55950293257083,0.7449959140223896,124.7925,0.6151508270062979
FAST,pomdp,39,2.445,2.4401380347840544,0.5672122757153703,0.7917355517490472,127.69,0.6345692585254734
FAST,pomdp,40,2.395,2.3810024787264066,0.5829602795751491,0.8004470259125327,138.1625,0.6482063034763641
