agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
pomdp,correctness,15,2.255,2.280899547831086,0.5783033810357479,0.38080897088393634,67.805,0.5783033810357479
pomdp,correctness,16,2.265,2.2703456090402434,0.5601750567874935,0.3933963686129291,70.4325,0.5601750567874935
pomdp,correctness,17,2.2975,2.3366013303467565,0.5541952024404068,0.3926212969925612,71.245,0.5541952024404068
pomdp,correctness,18,2.195,2.232815996038833,0.5584941204585988,0.37270615663269063,68.405,0.5584941204585988
pomdp,correctness,19,2.16,2.182408441675457,0.5623788779900303,0.3719591813600058,59.2325,0.5623788779900303
pomdp,correctness,20,2.28,2.37519033293002,0.5431300589199463,0.4152167893468557,72.94,0.5431300589199463
pomdp,correctness,21,2.255,2.2174490827599582,0.5454064034502211,0.41835746216889264,69.42,0.5454064034502211
pomdp,correctness,22,2.2875,2.284560628273849,0.5364128396751895,0.40066372721244803,64.4825,0.5364128396751895
pomdp,correctness,23,2.27,2.269519606384094,0.5414245872948914,0.37444312294420357,61.8275,0.5414245872948914
pomdp,correctness,24,2.21,2.233649753863217,0.5593877653112068,0.4013586673888196,75.455,0.5593877653112068
pomdp,correctness,25,2.25,2.288607167123296,0.5521522483341036,0.4008227700852124,67.795,0.5521522483341036
pomdp,correctness,26,2.28,2.2940417557252815,0.5638660271110235,0.40060163225446943,70.94,0.5638660271110235
pomdp,correctness,27,2.2325,2.2358100301035573,0.5568669144307552,0.3884156465605503,68.26,0.5568669144307552
pomdp,correctness,28,2.23,2.2527162046050164,0.5616736612018509,0.3940895664705338,67.92,0.5616736612018509
pomdp,correctness,29,2.17,2.214166708700786,0.5533883082020609,0.3906520942470484,66.4525,0.5533883082020609
pomdp,correctness,30,2.245,2.275452686192693,0.5728619791319415,0.4390380416975265,80.4075,0.5728619791319415
pomdp,correctness,31,2.3,2.3330364619496113,0.5475864827271074,0.39079800783610025,63.175,0.5475864827271074
pomdp,correctness,32,2.27,2.3153911551038164,0.5492533441144352,0.42214253830049897,72.5,0.5492533441144352
pomdp,correctness,33,2.2125,2.2571098285783626,0.5459308689416651,0.4066938292186596,73.185,0.5459308689416651
pomdp,correctness,34,2.3225,2.3616041030779185,0.5678730294856091,0.42223481897518106,72.385,0.5678730294856091
pomdp,correctness,35,2.27,2.28042284514295,0.5682423733408251,0.3850990236357931,60.8825,0.5682423733408251
pomdp,correctness,36,2.1425,2.1370889031570544,0.578081899513844,0.4126647077712144,74.84,0.578081899513844
pomdp,correctness,37,2.37,2.3400546518943277,0.5491531657906443,0.40933205514095916,66.13,0.5491531657906443
pomdp,correctness,38,2.2525,2.2751236998620255,0.5521215537399752,0.40617373872003126,71.3225,0.5521215537399752
pomdp,correctness,39,2.2475,2.2335721901871377,0.5650271291836559,0.3926201784892638,64.7525,0.5650271291836559
pomdp,correctness,40,2.165,2.151567645343787,0.5524580430756616,0.3935404525922124,64.39,0.5524580430756616
pomdp,correctness,41,2.21,2.199883280447904,0.548948461439133,0.3668435578314177,59.165,0.548948461439133
pomdp,correctness,42,2.295,2.2601080343816458,0.5677615561727406,0.40143303655473106,71.7825,0.5677615561727406
pomdp,correctness,43,2.2225,2.2194579865110637,0.5415127394894974,0.4018538390081642,68.09,0.5415127394894974
pomdp,correctness,44,2.15,2.16887229675807,0.5236388473760976,0.3802580719752486,64.0775,0.5236388473760976
pomdp,correctness,45,2.345,2.393592259765066,0.5415632733209215,0.4242766880434039,78.5025,0.5415632733209215
pomdp,correctness,46,2.225,2.198354130554688,0.569563539357837,0.3892937287486693,69.385,0.569563539357837
pomdp,correctness,47,2.1825,2.197528535351253,0.5621995113627349,0.37306782526488985,60.64,0.5621995113627349
pomdp,correctness,48,2.24,2.26340003972315,0.5649518021835662,0.4035544128579447,70.0375,0.5649518021835662
pomdp,correctness,49,2.28,2.297748574629069,0.5610943134113117,0.3961860473234513,68.21,0.5610943134113117
pomdp,correctness,50,2.215,2.25556530983561,0.5497952447325575,0.3933016083937801,66.7075,0.5497952447325575
pomdp,engagement,1,1.7625,1.834716212457366,0.48722108572244577,0.6243993750532344,87.6125,0.6243993750532344
pomdp,engagement,2,1.775,1.881046074645343,0.47198055858786064,0.6198159738521184,82.63,0.6198159738521184
pomdp,engagement,3,1.725,1.8194383171876067,0.4876020985419977,0.6627409301731576,89.835,0.6627409301731576
pomdp,engagement,4,1.7125,1.811279358523415,0.48984974716767626,0.6367377706930129,85.5275,0.6367377706930129
pomdp,engagement,5,1.755,1.904515400748154,0.4571956834252844,0.6126410625005636,80.345,0.6126410625005636
pomdp,engagement,6,1.6275,1.7730699100720786,0.48057936256254324,0.6408914824958986,86.835,0.6408914824958986
pomdp,engagement,7,1.6975,1.834233062064978,0.47753345978153766,0.6266472318959001,88.0175,0.6266472318959001
pomdp,engagement,8,1.6925,1.832128210651656,0.49702871064681775,0.6525108492095016,84.5975,0.6525108492095016
pomdp,engagement,9,1.69,1.8236491270888466,0.4723046124654821,0.6438017221349048,83.7375,0.6438017221349048
pomdp,engagement,10,1.7125,1.824576843080315,0.4926199971324499,0.6434699314164044,89.5575,0.6434699314164044
pomdp,engagement,11,1.76,1.8914711841078669,0.4732295074588967,0.6377696703601952,85.98,0.6377696703601952
pomdp,engagement,12,1.6525,1.7967351726880025,0.48083775670645096,0.6353388477549512,87.4075,0.6353388477549512
pomdp,engagement,13,1.665,1.829721243171666,0.4872367988733652,0.6654703738229645,96.025,0.6654703738229645
pomdp,engagement,14,1.78,1.8962597049885344,0.47077759968396504,0.6164349300106763,80.18,0.6164349300106763
pomdp,engagement,15,1.7625,1.8652225635590982,0.49482309194567975,0.654976641353455,92.1775,0.654976641353455
pomdp,engagement,16,1.7125,1.8340311465591383,0.474685098477117,0.6311212828493122,75.705,0.6311212828493122
pomdp,engagement,17,1.6975,1.8236687141307986,0.4782765600654065,0.6476648198184628,93.53,0.6476648198184628
pomdp,engagement,18,1.6325,1.7574251523598579,0.4812266443948488,0.6629823725292231,94.81,0.6629823725292231
pomdp,engagement,19,1.6575,1.7987405781650727,0.46902674767780633,0.6458227952999023,87.105,0.6458227952999023
pomdp,engagement,20,1.77,1.9409713672854714,0.48608786485169625,0.637658808614751,96.14,0.637658808614751
pomdp,engagement,21,1.6775,1.8236440026407599,0.47907927773005726,0.6396821715407311,85.3725,0.6396821715407311
